text,label,category,style,source,platform,persona
"Dùng ChatGPT thì trúng ngay mỗi ngày, chơi cờ bạc sao mà vất vả quá?",spam,phishing_link,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Người trong nội bộ/Hacker (tiết lộ lỗ hổng nhà cái, share thuật toán hack game)"
"Mới biết đến công cụ mạnh mẽ này của ChatGPT, đang kiếm hoa hồng với vòng q u a y may mắn.",spam,phishing_link,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Người trong nội bộ/Hacker (tiết lộ lỗ hổng nhà cái, share thuật toán hack game)"
Các hacker Tiktok lại dùng AI ChatGPT để hack game vòng quay may mắn rồi.,spam,phishing_link,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Người trong nội bộ/Hacker (tiết lộ lỗ hổng nhà cái, share thuật toán hack game)"
Hóng quá trời hóng tin tức Affiliate từ group này luôn! Đã cập nhật nhiều mẹo hay và kiếm được ít tiền ngoài giờ học. Đăng ký ngay để cùng chia sẻ thành công với em nhé!,spam,casino,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Affiliate đã trở thành một phần quan trọng của kế hoạch khởi nghiệp cho em rồi! Hỗ trợ nhau trong nhóm, mong mọi người cùng thành đạt!",spam,casino,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Xóc đĩa mạng Affiliate đang hot lên quá, ai tham gia chưa? Đăng ký sớm còn có nhiều ưu đãi cực hấp dẫn nha!",spam,casino,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Affiliate từ xóc đĩa mạng là cách kiếm tiền online cực hiệu quả, mình đã thử và thấy tốt lắm. Rủ rê cả lớp cùng chơi đi! 💰",spam,casino,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
Kết nối với Affiliate xóc đĩa mạng để học hỏi kinh nghiệm từ những người đi trước. Mình tin bạn cũng sẽ thành công nhanh chóng như em đây!,spam,casino,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Affiliate là cánh cửa mới cho sinh viên khởi nghiệp, chia sẻ thành công của mình và mong mọi người cùng tham gia vào cộng đồng này nhé!",spam,casino,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
Chưa bao giờ nghĩ Affiliate lại có thể liên quan đến xóc đĩa mạng. Thích thú với những cơ hội kiếm tiền nhanh chóng từ group này!,spam,casino,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Cược kèo Euro/WORLD CUP dễ dàng với khóa học mới! Chỉ cần theo dõi hướng dẫn trong course là thắng chắc chắn, thu lãi hàng chục phần trăm. Link đăng ký ngay!",spam,course_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)","Sale bất chấp (chèo kéo, cam kết lợi nhuận trên trời, dùng chằng chịt emoji)"
Thử sức mình với cược World Cup nào mọi người? Chắc chắn profit không ít đâu! Đăng ký để được học cách phân tích trận đấu siêu chuẩn.,spam,course_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)","Sale bất chấp (chèo kéo, cam kết lợi nhuận trên trời, dùng chằng chịt emoji)"
Chịu khó tham gia khóa học này và bạn sẽ trở thành cao thủ cược kèo Euro/WORLD CUP. Chỉ cần theo dõi bài giảng là đã có thể kiếm tiền từ cá độ.,spam,course_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)","Sale bất chấp (chèo kéo, cam kết lợi nhuận trên trời, dùng chằng chịt emoji)"
"Mình vừa hoàn thiện khóa học về cược World Cup, toàn những mẹo siêu hay và dễ thực hiện. Đăng ký ngay để được hưởng lợi tức khủng nhé!",spam,course_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)","Sale bất chấp (chèo kéo, cam kết lợi nhuận trên trời, dùng chằng chịt emoji)"
"Xin giới thiệu khóa học mới về cược kèo Euro/WORLD CUP! Học xong là bạn sẽ thành thợ cá độ đỉnh cao, kiếm tiền không còn khó nữa.",spam,course_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)","Sale bất chấp (chèo kéo, cam kết lợi nhuận trên trời, dùng chằng chịt emoji)"
Nhận thấy mọi người thích làm giàu từ cá độ? Khóa học này sẽ giúp bạn thực hiện mơ ước ấy. Đăng ký ngay để có cơ hội thắng lớn.,spam,course_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)","Sale bất chấp (chèo kéo, cam kết lợi nhuận trên trời, dùng chằng chịt emoji)"
"Đã từng thử nhiều cách cược nhưng chưa hiệu quả? Đừng bỏ lỡ khóa học mới về kèo Euro/WORLD CUP, chắc chắn sẽ thay đổi cuộc đời bạn!",spam,course_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)","Sale bất chấp (chèo kéo, cam kết lợi nhuận trên trời, dùng chằng chịt emoji)"
"Chào mọi người! Mình đang làm việc online xem video tiktok, ngày kiếm đủ nuôi xe ôm luôn đó. Tham gia nhanh link này nhé:",spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Bot tự động (ngữ pháp khô cứng, viết hoa lộn xộn, chèn link trực tiếp, hối thúc)"
"Học cách livestream bán hàng trên Facebook, cam kết tăngLike 100% sau khóa học. Đăng ký ngay kẻo lỡ:",spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Bot tự động (ngữ pháp khô cứng, viết hoa lộn xộn, chèn link trực tiếp, hối thúc)"
"Bán hàng đa cấp online, thu nhập mỗi tháng vài chục triệu dễ như ăn kẹo. Liên hệ mình qua Zalo link trong profile:",spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Bot tự động (ngữ pháp khô cứng, viết hoa lộn xộn, chèn link trực tiếp, hối thúc)"
"Chăm sóc khách hàng online, lương tháng vài trăm đô không khó đâu nhé! Mình đã thực hiện t h à n h công, đăng ký học nhanh tại đây:",spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Bot tự động (ngữ pháp khô cứng, viết hoa lộn xộn, chèn link trực tiếp, hối thúc)"
"Học cách viết content tiktok thu hút views, chỉ sau 1 tuần kiếm được tiền đủ sống. Đăng ký ngay link bên dưới:",spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Bot tự động (ngữ pháp khô cứng, viết hoa lộn xộn, chèn link trực tiếp, hối thúc)"
"Kinh doanh sản phẩm tự làm online, bán hàng trên Shopee dễ như trở bàn tay. Mình đã làm và thành công, liên hệ mình qua Zalo nhé:",spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Bot tự động (ngữ pháp khô cứng, viết hoa lộn xộn, chèn link trực tiếp, hối thúc)"
"Tham gia mạng lưới đa cấp online, thu nhập không giới hạn từ việc giới thiệu bạn mới. Liên hệ ngay để tham gia:",spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Bot tự động (ngữ pháp khô cứng, viết hoa lộn xộn, chèn link trực tiếp, hối thúc)"
"Xây dựng blog thu nhập thụ động bằng Google AdSense, chỉ mất thờinnn gian đầu 1 tuần thôi! Đăng ký học với mình tại đây nha:",spam,phishing_link,generated,ollama,"Forum Seeding (Voz, TinhTe, Otofun)","Bot tự động (ngữ pháp khô cứng, viết hoa lộn xộn, chèn link trực tiếp, hối thúc)"
"Bình luận 1: Chú ý nghe em đây, hôm nay mua cổ phiếu c h ứ n g khoán là may mắn luôn nhé!",spam,recruitment_scam,generated,ollama,"Youtube Comment (Video ca nhạc, review phim)","Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Bình luận 2: Anh vừa vào Shopee chốt đơn, mua đồ gia dụng nhà nào rồi kiếm thêm tiền từ chứng khoán.",spam,recruitment_scam,generated,ollama,"Youtube Comment (Video ca nhạc, review phim)","Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Bình luận 3: Em mới đầu tư chứng khoán xong, giá lên xuốngnnn nhanh lắm, ai muốn tham gia cùng nhỉ?",spam,recruitment_scam,generated,ollama,"Youtube Comment (Video ca nhạc, review phim)","Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Bình luận 4: Cảm ơn anh đã chốt đơn Shopee thành công, giờ có thêm tiền cho cổ phiếu của mình.",spam,recruitment_scam,generated,ollama,"Youtube Comment (Video ca nhạc, review phim)","Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Bình luận 5: Em vừa mua đồ trên Shopee, sau sẽ đầu tư chứng khoán, ai muốn học hỏi kinh nghiệm thì liên hệ em nhé!",spam,recruitment_scam,generated,ollama,"Youtube Comment (Video ca nhạc, review phim)","Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Bình luận 6: Hôm nay rảnh quá, anh xem video này rồi đi chốt đơn Shopee kiếm tiền từ chứng khoán luôn.",spam,recruitment_scam,generated,ollama,"Youtube Comment (Video ca nhạc, review phim)","Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
Bình luận 7: Bạn nào quan tâm đầu tư chứng khoán cùng nhau không? Em vừa vào Shopee mua đồ rồi nhé!,spam,recruitment_scam,generated,ollama,"Youtube Comment (Video ca nhạc, review phim)","Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Bình luận 8: Chào mọi người, em vừa chốt đơn trên Shopee thành công. Giờ n g h ĩ đến việc đầu tư chứng khoán luôn.",spam,recruitment_scam,generated,ollama,"Youtube Comment (Video ca nhạc, review phim)","Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
Chắc các mom cũng đang cần iPhone mới cho con họcOnline nhỉ? Em vừa mua tặng mẹ một chiếc 15 pro max thật xịn. Chia sẻ kinh nghiệm chứng khoán kiếm tiền từ nhà mà giờ đã có cái máy mới quá trời! 💸📱,spam,fake_promotion,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Bà mẹ bỉm sữa (chia sẻ việc nhẹ lương cao, giọng điệu tâm tình, hay gọi 'các mom')"
"Các mom muốn làm giàu từ thị trường chứng khoán không? Em đang học hỏi và chia sẻ nhiều thông tin hữu ích trên mạng nha, ai quan tâm inbox em nhé. 📈💸",spam,fake_promotion,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Bà mẹ bỉm sữa (chia sẻ việc nhẹ lương cao, giọng điệu tâm tình, hay gọi 'các mom')"
Mẹ nào cần kinh nghiệm đầu tư chứng khoán kiếm tiền mà vẫn có thể chăm con ở nhà được thì inbox em này nhá. Em vừa mua iPhone mới tặng mẹ nên giờ vui quá! 💖📱,spam,fake_promotion,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Bà mẹ bỉm sữa (chia sẻ việc nhẹ lương cao, giọng điệu tâm tình, hay gọi 'các mom')"
"Thấy các mom chia sẻ nhiều về làm giàu từ chứng khoán, em cũng muốn giới thiệu cho mọi người một số kinh nghiệm của mình. Mình có thể dùng tiền lãi đầu tư để sắm đồ chơi cho con mà không ảnh hưởng đến cuộc sống hàng ngày nha. 📈💖",spam,fake_promotion,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Bà mẹ bỉm sữa (chia sẻ việc nhẹ lương cao, giọng điệu tâm tình, hay gọi 'các mom')"
"Các mẹ thấy việc kiếm tiền từ thị trường chứng khoán rất tiện lợi và linh hoạt phải không? Em vừa mua iPhone mới tặnghhh bà nội, giờ càng vui hơn khi có thể chăm sóc gia đình và đầu tư cùng lúc. 💖📱",spam,fake_promotion,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Bà mẹ bỉm sữa (chia sẻ việc nhẹ lương cao, giọng điệu tâm tình, hay gọi 'các mom')"
Thấy nhiều mom chia sẻ về làm giàu từ chứng khoán trên mạng nên em cũng muốn tham gia. Mình vừa sắm cho mẹ một chiếc iPhone 15 pro max thật xịn để tiện theo dõi thị trường nha! 📈💖,spam,fake_promotion,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Bà mẹ bỉm sữa (chia sẻ việc nhẹ lương cao, giọng điệu tâm tình, hay gọi 'các mom')"
"Các mẹ có biết cách kiếm tiền từ chứng khoán mà vẫn chăm con không? Em vừa mua tặng bà nội một chiếc iPhone mới, giờ càng vui hơn khi cả gia đình cùng tham gia thị trường. 💖📱",spam,fake_promotion,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Bà mẹ bỉm sữa (chia sẻ việc nhẹ lương cao, giọng điệu tâm tình, hay gọi 'các mom')"
Mẹ nào muốn học hỏi kinh nghiệm đầu tư chứng khoán kiếm thêm thu nhập thì inbox em này nhé. Em vừa sắm được một chiếc iPhone 15 pro max thật xịn tặng mẹ rồi! 📈💖 🚀,spam,fake_promotion,generated,ollama,"Tiktok Comment (Video xu hướng, livestream)","Bà mẹ bỉm sữa (chia sẻ việc nhẹ lương cao, giọng điệu tâm tình, hay gọi 'các mom')"
"Vòng quay may mắn hôm này siêu hot luôn ạ, bùng app vay liên tục trúng thưởng. Chắc chắn có xe đạp điện cho bạn! Comment ngay số điện thoại của mình nhé.",spam,phishing_link,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
Ai chưa thử qua vòng quay may mắn này thì thật phí quá trời rồi đấy. Mình vừa win chiếc điện thoại di động mới rồi. Rất tiện lợi và hữu ích luôn!,spam,phishing_link,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Chỉ cần tham gia vào nhóm là đã có cơ hội trúng thưởng liên tục từ app vay. Hôm nay mình được tặng 10k, mai lại có thể hơn nhé! Chia sẻ cho bạn bè cùng tham gia.",spam,phishing_link,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Ai chưa đăng ký vòng quay may mắn thì thật đáng tiếc quá nhỉ? Mình vừa win chiếc điện thoại mới rồi, rất ưng ý. Rất xứng đáng với công sức đầu tư vào app vay này!",spam,phishing_link,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
Hôm nay mình trúng được 50k từ vòng quay may mắn trong app vay! Mọi người hãy thammmm gia ngay để có cơ hội như mình nhé. Chắc chắn sẽ không hối tiếc đâu.,spam,phishing_link,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Thật bất ngờ khi vừa tham gia vòng quay may mắn hôm nay, mình đã trúng được 20k từ app vay. Rất mừng và rất muốn chia sẻ cho bạn bè cùng tham gia để có cơ hội như vậy!",spam,phishing_link,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Chỉ cần đăng ký trong nhóm là đã có cơ hội trúng thưởnghhh từ app vay rồi đấy. Mình vừa win chiếc điện thoại di động mới, tiện lợi vô cùng! Chia sẻ ngay cho bạn bè của mình nhé.",spam,phishing_link,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Hôm nay may mắn rải khắp nơi, mình tham gia vòng quay may mắn và trúng đượchhh 30k từ app vay. Rất hài lòng với kết quả này, mọi người hãy thử trải nghiệm xem sao!",spam,phishing_link,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Chào anh/chị, em thấy vay tín chấpmmm khá tiện lợi cho việc kinh doanh nhỏ. Có ai đã dropship chưa? Chia sẻ kinh nghiệm vs ạ.",spam,loan_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)",Thầy tâm linh/Tử vi online (bói toán xui rủi rồi chào bán vật phẩm hoặc web đánh lô đề)
Rất nhiều người đang cần tiền gấp để mở rộng mô hình kinh doanh online của mình. Dropship có thể là giải pháp phù hợp không?,spam,loan_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)",Thầy tâm linh/Tử vi online (bói toán xui rủi rồi chào bán vật phẩm hoặc web đánh lô đề)
"Em nghe nói vay tín chấp rất dễ dàng và nhanh chóng, anh/chị nào muốn thử dropship chưa?",spam,loan_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)",Thầy tâm linh/Tử vi online (bói toán xui rủi rồi chào bán vật phẩm hoặc web đánh lô đề)
Anh/chị thấy thế nàommm về việc vay tiền để đầu tư dropship? Rất nhiều người đã thành công rồi.,spam,loan_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)",Thầy tâm linh/Tử vi online (bói toán xui rủi rồi chào bán vật phẩm hoặc web đánh lô đề)
Vay tín chấp hỗ trợ quá trình kinh doanh online qua dropship đúng không ạ?,spam,loan_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)",Thầy tâm linh/Tử vi online (bói toán xui rủi rồi chào bán vật phẩm hoặc web đánh lô đề)
Bạn đang tìm cách làm giàu nhanh chóng mà không tốn vốn? Dropship có thể là lựa chọn phù hợp cho vay tín chấp.,spam,loan_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)",Thầy tâm linh/Tử vi online (bói toán xui rủi rồi chào bán vật phẩm hoặc web đánh lô đề)
Anh/chị thấy sao về việc vay tiềnnnn để kinh doanh dropship? Nhiều người đã kiếm được nhiều từ mô hình này.,spam,loan_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)",Thầy tâm linh/Tử vi online (bói toán xui rủi rồi chào bán vật phẩm hoặc web đánh lô đề)
Đầu tư vào dropship với vay tín chấp có phải là giải pháp thông minh k ạ? Bạn nào quan tâm chia sẻ vs.,spam,loan_scam,generated,ollama,"Facebook Comment (Bài viết hot, fanpage lớn)",Thầy tâm linh/Tử vi online (bói toán xui rủi rồi chào bán vật phẩm hoặc web đánh lô đề)
"Web thả tim Youtube cũng dễ quá chừng, em vừa thả tim vài bài và nhận quà 8/3 ngon lành luôn. Chị thử đăng ký qua đây nhé!",spam,recruitment_scam,generated,ollama,Email Cold Outreach (Spam hộp thư B2B),"Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Bạn bè mình làm cái này đã lâu rồi, mỗi ngày đều nhận quà ý, chị xem thử link ở dưới nha.",spam,recruitment_scam,generated,ollama,Email Cold Outreach (Spam hộp thư B2B),"Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Đang làm việc trên công cụ thả tim Youtube, mới thấy thật tiện lợi, lại còn được nhiều ưu đãi 8/3 quá. Chị nên tham gia cùng mình nhé!",spam,recruitment_scam,generated,ollama,Email Cold Outreach (Spam hộp thư B2B),"Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Chắc chắn sẽ nhận quà ngon từ cách này, bạn bè mình đang làm và đều hốt quà 8/3 nè. Đăng ký qua đây coi sao.",spam,recruitment_scam,generated,ollama,Email Cold Outreach (Spam hộp thư B2B),"Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
Em mới bắt đầu với công cụ thả tim Youtube đã thấy dễ dàng kiếm quà 8/3 rồi. Chị cũng thử đăng ký xem nào! 💰,spam,recruitment_scam,generated,ollama,Email Cold Outreach (Spam hộp thư B2B),"Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Chị thử dùng công cụ thả tim trênYoutube, em làm vài bài là nhận hàng loạt quà ý. Đăng ký ngay để nhận ưu đãi nhé!",spam,recruitment_scam,generated,ollama,Email Cold Outreach (Spam hộp thư B2B),"Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Đã tham gia vào cách này và thấy thật hiệu quả trong việc kiếm quà 8/3 từ Youtube, chị cũng đăng ký qua đây coi sao nhé!",spam,recruitment_scam,generated,ollama,Email Cold Outreach (Spam hộp thư B2B),"Khách hàng chim mồi (đóng vai người đi trước đã chuột bạch thành công, review khen ngợi)"
"Đảm bảo chốt đơnPi Network mỗi ngày, xe sang đồng hồ đeonnn tay đều có. Sứ mệnh là thương hiệu Việt mạnh mẽ!",spam,course_scam,generated,ollama,Shopee/Lazada Review (Đánh giá ảo kèm quảng cáo),"Giám đốc/CEO phông bạt (khoe xe sang, đồng hồ, nói chuyện tầm nhìn, sứ mệnh)"
"Chắc chắn Pi Network sẽ giúp doanh số tăng trưởng, tầm nhìn xa rộng.",spam,course_scam,generated,ollama,Shopee/Lazada Review (Đánh giá ảo kèm quảng cáo),"Giám đốc/CEO phông bạt (khoe xe sang, đồng hồ, nói chuyện tầm nhìn, sứ mệnh)"
Thử nghiệm Pi Network thực sự hiệu quảnnn cho công việc kinh doanh của tôi.,spam,course_scam,generated,ollama,Shopee/Lazada Review (Đánh giá ảo kèm quảng cáo),"Giám đốc/CEO phông bạt (khoe xe sang, đồng hồ, nói chuyện tầm nhìn, sứ mệnh)"
"Tiềm năng Pi Network vô cùng lớn, mình cần phải nắm bắt cơ hội này ngay bây giờ!",spam,course_scam,generated,ollama,Shopee/Lazada Review (Đánh giá ảo kèm quảng cáo),"Giám đốc/CEO phông bạt (khoe xe sang, đồng hồ, nói chuyện tầm nhìn, sứ mệnh)"
"Hệ thống PiNetwork quá tuyệt vời, đã nâng cao đáng kể tốc độ chốt đơn hàng ngày.",spam,course_scam,generated,ollama,Shopee/Lazada Review (Đánh giá ảo kèm quảng cáo),"Giám đốc/CEO phông bạt (khoe xe sang, đồng hồ, nói chuyện tầm nhìn, sứ mệnh)"
"Chỉ sau vài tuần sử dụng Pi Network, công việc của tôi đang phát triển mạnh mẽ.",spam,course_scam,generated,ollama,Shopee/Lazada Review (Đánh giá ảo kèm quảng cáo),"Giám đốc/CEO phông bạt (khoe xe sang, đồng hồ, nói chuyện tầm nhìn, sứ mệnh)"
Pi Network thật sự là giảihhh pháp hoàn hảo cho doanh nghiệp khởi nghiệp như mình.,spam,course_scam,generated,ollama,Shopee/Lazada Review (Đánh giá ảo kèm quảng cáo),"Giám đốc/CEO phông bạt (khoe xe sang, đồng hồ, nói chuyện tầm nhìn, sứ mệnh)"
Dù còn nhiều thắc mắc về Pi Network nhưng quyết định dùng thử đã mang lại kết quả tích cực.,spam,course_scam,generated,ollama,Shopee/Lazada Review (Đánh giá ảo kèm quảng cáo),"Giám đốc/CEO phông bạt (khoe xe sang, đồng hồ, nói chuyện tầm nhìn, sứ mệnh)"
"ChatGPT siêu mạnh luôn ấy ae, nó giúp mình kiếm bộn tiền từ lô đề đấy. Chỉ cần vài l ệ n h đơn giản là ăn trọn giải đặc biệt rồi!",spam,casino,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
"Lại có signal đẹp từ ChatGPT kìa, ai muốn tham gia cùng nhau thì ib cho em biết nha, chắc chắn lời nhuận lớn lắm.",spam,casino,generated,ollama,"Telegram Crypto Channel (Nhóm tín hiệu, airdrop)","Sinh viên khởi nghiệp (khoe thành tích đổi đời nhanh, rủ rê đàn em)"
